nl-a2	dutch-102-a2-id	COVER LENGKAP A2-B2/DUTCH/DUTCH A2.png
nl-b1	dutch-103-b1-id	COVER LENGKAP A2-B2/DUTCH/DUTCH B1.png
nl-b2	nederlands-104-b2-id	COVER LENGKAP A2-B2/DUTCH/DUTCH B2.png
en-a2	english-102-a2-id	COVER LENGKAP A2-B2/ENGLISH/ENGLISH A2.png
en-b1	english-103-b1-id	COVER LENGKAP A2-B2/ENGLISH/ENGLISH B1.png
en-b2	english-104-b2-id	COVER LENGKAP A2-B2/ENGLISH/ENGLISH B2.png
fr-a2	francais-102-a2-id	COVER LENGKAP A2-B2/FRENCH/FRENCH A2.png
fr-b1	francais-103-b1-id	COVER LENGKAP A2-B2/FRENCH/FRENCH B1.png
fr-b2	francais-104-b2-id	COVER LENGKAP A2-B2/FRENCH/FRENCH B2.png
de-a2	german-102-a2-id	COVER LENGKAP A2-B2/GERMAN/GERMAN A2.png
de-b1	german-103-b1-id	COVER LENGKAP A2-B2/GERMAN/GERMAN B1.png
de-b2	deutsch-104-b2-id	COVER LENGKAP A2-B2/GERMAN/GERMAN B2.png
it-a2	italiano-102-a2-id	COVER LENGKAP A2-B2/ITALIAN/ITALIAN A2.png
it-b1	italiano-103-b1-id	COVER LENGKAP A2-B2/ITALIAN/ITALIAN B1.png
it-b2	italiano-104-b2-id	COVER LENGKAP A2-B2/ITALIAN/ITALIAN B2.png
ja-a2	nihongo-102-a2-id	COVER LENGKAP A2-B2/JAPANESE/JAPANESE A2.png
ja-b1	nihongo-103-b1-id	COVER LENGKAP A2-B2/JAPANESE/JAPANESE B1.png
ja-b2	nihongo-104-b2-id	COVER LENGKAP A2-B2/JAPANESE/JAPANESE B2.png
ko-a2	hangugeo-102-a2-id	COVER LENGKAP A2-B2/KOREA/KOREAN A2.png
ko-b1	hangugeo-103-b1-id	COVER LENGKAP A2-B2/KOREA/KOREAN B1.png
ko-b2	hangugeo-104-b2-id	COVER LENGKAP A2-B2/KOREA/KOREAN B2.png
zh-a2	mandarin-102-a2-id	COVER LENGKAP A2-B2/MANDARIN/MANDARIN A2.png
zh-b1	mandarin-103-b1-id	COVER LENGKAP A2-B2/MANDARIN/MANDARIN B1.png
zh-b2	mandarin-104-b2-id	COVER LENGKAP A2-B2/MANDARIN/MANDARIN B2.png
ru-a2	russian-102-a2-id	COVER LENGKAP A2-B2/RUSSIAN/RUSSIAN A2.png
ru-b1	russian-103-b1-id	COVER LENGKAP A2-B2/RUSSIAN/RUSSIAN B1.png
ru-b2	russian-104-b2-id	COVER LENGKAP A2-B2/RUSSIAN/RUSSIAN B2.png
es-a2	espanol-102-a2-id	COVER LENGKAP A2-B2/SPANISH (EUROPEAN)/SPANISH EUROPEAN A2.png
es-b1	espanol-103-b1-id	COVER LENGKAP A2-B2/SPANISH (EUROPEAN)/SPANISH EUROPEAN B1.png
es-b2	espanol-104-b2-id	COVER LENGKAP A2-B2/SPANISH (EUROPEAN)/SPANISH (EUROPEAN) B2.png
eu-a1	euskara-101-a1-id	TAMBAHAN/BASQUE.png
bn-a1	modul-bengali-101-id	TAMBAHAN/BENGALI.png
jv-a1	basa-jawa-101-a1-id	TAMBAHAN/JAWA.png
km-a1	modul-khmer-101-id	TAMBAHAN/KHMER.png
ms-a1	modul-melayu-101-id	TAMBAHAN/MELAYU.png
my-a1	modul-myanmar-101-id	TAMBAHAN/MYANMAR.png
su-a1	modul-sunda-101-id	TAMBAHAN/SUNDA.png
ur-a1	modul-urdu-101-id	TAMBAHAN/URDU.png
bg-a1	modul-bulgaria-101-id	TAMBAHAN-2/BULGARIA.png
lo-a1	lao-101-a1-id	TAMBAHAN-2/LAOS.png
sk-a1	modul-slovak-101-id	TAMBAHAN-2/SLOVAKIA.png
sl-a1	modul-slovenia-101-id	TAMBAHAN-2/SLOVENIA.png
